Dataset,Method,RMSE,MAE,R^2,Time(s),Best Model
Airbnb,Random Search,0.39859782523423987,0.29089901443325483,0.6928189276684539,,GradientBoosting
Airbnb,Custom SA (ours),0.4007464499871187,0.2895199391590478,0.6894983086874564,44.27338004112244,RandomForest
Airbnb,TPOT,,,,,GP Pipeline
Airbnb,FLAML,0.3791086318083697,0.27478590689312493,0.7221234180445586,617.1523504257202,lgbm
GlobalEV,Random Search,1.1021066027599102,0.6660902734434322,0.8922026114279524,,KNN
GlobalEV,Custom SA (ours),0.6944813967458576,0.4644873913464588,0.9571962060429493,7.478427171707153,GradientBoosting
GlobalEV,TPOT,,,,,GP Pipeline
GlobalEV,FLAML,0.6298477724217293,0.40255549996612555,0.9647927400416942,617.4843490123749,xgboost
